Source,Target,Weight,Type
0,3,3,undirected
0,9,9,undirected
0,11,6,undirected
0,13,1,undirected
0,16,7,undirected
0,19,5,undirected
0,26,6,undirected
0,27,4,undirected
0,39,9,undirected
0,47,2,undirected
0,51,23,undirected
0,64,2,undirected
1,2,48,undirected
1,8,36,undirected
1,10,1,undirected
1,14,3,undirected
1,15,10,undirected
1,17,1,undirected
1,18,5,undirected
1,35,4,undirected
1,53,4,undirected
2,1,48,undirected
2,8,45,undirected
2,10,1,undirected
2,12,7,undirected
2,14,17,undirected
2,15,9,undirected
2,41,19,undirected
3,0,3,undirected
3,7,7,undirected
3,13,32,undirected
3,26,26,undirected
3,38,1,undirected
3,41,3,undirected
3,52,8,undirected
4,7,1,undirected
4,16,1,undirected
4,22,39,undirected
4,25,1,undirected
4,35,7,undirected
4,40,1,undirected
4,41,3,undirected
4,51,21,undirected
4,64,14,undirected
5,15,10,undirected
5,16,14,undirected
5,17,3,undirected
5,18,1,undirected
5,22,1,undirected
5,28,12,undirected
5,35,23,undirected
5,46,3,undirected
5,51,2,undirected
5,53,9,undirected
5,56,1,undirected
5,63,3,undirected
5,65,27,undirected
6,11,13,undirected
6,25,2,undirected
6,29,2,undirected
6,35,3,undirected
6,39,9,undirected
6,50,1,undirected
6,51,30,undirected
6,59,1,undirected
6,64,1,undirected
7,3,7,undirected
7,4,1,undirected
7,8,1,undirected
7,11,22,undirected
7,15,17,undirected
7,20,5,undirected
7,24,6,undirected
7,35,8,undirected
7,37,2,undirected
7,38,19,undirected
7,39,1,undirected
7,51,8,undirected
7,62,1,undirected
8,1,36,undirected
8,2,45,undirected
8,7,1,undirected
8,15,2,undirected
8,35,12,undirected
8,64,1,undirected
9,0,9,undirected
9,13,3,undirected
9,16,3,undirected
9,18,1,undirected
9,22,5,undirected
9,25,25,undirected
9,35,2,undirected
9,36,2,undirected
9,63,10,undirected
9,64,2,undirected
10,1,1,undirected
10,2,1,undirected
10,11,6,undirected
10,12,10,undirected
10,14,1,undirected
10,15,9,undirected
10,18,9,undirected
10,22,4,undirected
10,24,1,undirected
10,32,8,undirected
10,35,25,undirected
10,41,3,undirected
10,48,30,undirected
10,50,2,undirected
11,0,6,undirected
11,6,13,undirected
11,7,22,undirected
11,10,6,undirected
11,15,10,undirected
11,16,6,undirected
11,20,1,undirected
11,32,2,undirected
11,35,18,undirected
11,37,6,undirected
11,41,18,undirected
11,47,1,undirected
11,48,4,undirected
11,50,2,undirected
11,51,37,undirected
12,2,7,undirected
12,10,10,undirected
12,13,7,undirected
12,14,8,undirected
12,15,16,undirected
12,32,7,undirected
12,48,5,undirected
13,0,1,undirected
13,3,32,undirected
13,9,3,undirected
13,12,7,undirected
13,14,29,undirected
13,23,1,undirected
13,26,38,undirected
13,34,1,undirected
13,35,2,undirected
13,38,1,undirected
13,41,2,undirected
13,49,2,undirected
13,50,3,undirected
13,52,10,undirected
14,1,3,undirected
14,2,17,undirected
14,10,1,undirected
14,12,8,undirected
14,13,29,undirected
14,15,10,undirected
14,22,2,undirected
14,32,14,undirected
14,35,4,undirected
15,1,10,undirected
15,2,9,undirected
15,5,10,undirected
15,7,17,undirected
15,8,2,undirected
15,10,9,undirected
15,11,10,undirected
15,12,16,undirected
15,14,10,undirected
15,16,38,undirected
15,17,4,undirected
15,18,18,undirected
15,19,24,undirected
15,22,4,undirected
15,24,3,undirected
15,32,24,undirected
15,35,53,undirected
15,38,14,undirected
15,41,5,undirected
15,43,15,undirected
15,48,9,undirected
15,49,3,undirected
15,50,9,undirected
15,53,7,undirected
15,54,3,undirected
15,56,1,undirected
15,63,1,undirected
15,64,11,undirected
15,65,1,undirected
16,0,7,undirected
16,4,1,undirected
16,5,14,undirected
16,9,3,undirected
16,11,6,undirected
16,15,38,undirected
16,17,59,undirected
16,18,38,undirected
16,19,8,undirected
16,22,7,undirected
16,24,7,undirected
16,28,6,undirected
16,35,7,undirected
16,38,5,undirected
16,40,3,undirected
16,43,7,undirected
16,46,3,undirected
16,47,1,undirected
16,50,18,undirected
16,51,13,undirected
16,54,2,undirected
16,55,21,undirected
16,59,1,undirected
16,63,6,undirected
16,64,1,undirected
16,65,8,undirected
17,1,1,undirected
17,5,3,undirected
17,15,4,undirected
17,16,59,undirected
17,18,11,undirected
17,28,4,undirected
17,40,1,undirected
17,47,2,undirected
17,51,10,undirected
17,55,25,undirected
17,59,6,undirected
17,64,5,undirected
17,65,8,undirected
18,1,5,undirected
18,5,1,undirected
18,9,1,undirected
18,10,9,undirected
